Russian,English
огнестрельное оружие,firearm
оружие,weapon
винтовка,rifle
карабин,carbine
пистолет,pistol
автомат,assault rifle
пистолет-пулемёт,submachine gun
пулемёт,machine gun
гранатомёт,rocket launcher
реактивный противотанковый гранатомёт,rocket launcher
ручной противотанковый гранатомёт,rocket launcher
безоткатное орудие,rocket launcher
миномёт,mortar
орудие,gun
пушка,cannon
гаубица,howitzer
боеприпасы,ammunition
патрон,cartridge
граната,grenade
мина,mine
снаряд,projectile
бомба,bomb
автоматический,automatic
ручной,hand-held
станковый,mounted
